account_id,steamid,avatar,avatarmedium,avatarfull,profileurl,personaname,last_login,full_history_time,cheese,fh_unavailable,loccountrycode,last_match_time,name,country_code,fantasy_role,team_id,team_name,team_tag,is_locked,is_pro,locked_until
11562,,,,,,,,,,,,,René,de,1,0,,,False,True,0
88018,76561197960353746,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ae/aed0b0fa4bed2039628fe5e95b28de608cfe4359.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ae/aed0b0fa4bed2039628fe5e95b28de608cfe4359_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ae/aed0b0fa4bed2039628fe5e95b28de608cfe4359_full.jpg,https://steamcommunity.com/profiles/76561197960353746/,zAHARASAURUS,,2017-06-03T04:59:21.898Z,0,False,SE,2018-07-22T21:50:13.000Z,GIFTIG!,,1,983699,Turtlemasters,turtle,False,True,0
88470,76561197960354198,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ebd57e6f505eb7fc09e943a09a6e79fffabbbd2.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ebd57e6f505eb7fc09e943a09a6e79fffabbbd2_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ebd57e6f505eb7fc09e943a09a6e79fffabbbd2_full.jpg,https://steamcommunity.com/id/misterdurst69/,Tzy丶,,2017-03-29T12:29:31.688Z,0,False,CN,2018-07-22T15:37:51.000Z,TZY,cn,1,6020739,,,False,True,1502694000
145875,76561197960411603,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c8/c821855eeb3f02078b75108dc448ecf940657a0c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c8/c821855eeb3f02078b75108dc448ecf940657a0c_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c8/c821855eeb3f02078b75108dc448ecf940657a0c_full.jpg,https://steamcommunity.com/id/lddota/,LD,,,0,,US,,LD,,0,0,,,False,True,0
514364,76561197960780092,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/38/38320bc2df0a5385f0e41a92cb8789839b42a67f.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/38/38320bc2df0a5385f0e41a92cb8789839b42a67f_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/38/38320bc2df0a5385f0e41a92cb8789839b42a67f_full.jpg,https://steamcommunity.com/id/dbr386/,hi im roy,,,0,,US,2017-12-05T23:01:11.000Z,Roy,us,2,0,Team Red,Red,False,True,0
690740,76561197960956468,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ec9fa1959e09d1ae84b2d4f5af0a03b7f2c98be.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ec9fa1959e09d1ae84b2d4f5af0a03b7f2c98be_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ec9fa1959e09d1ae84b2d4f5af0a03b7f2c98be_full.jpg,https://steamcommunity.com/id/sunsfan/,@SUNSfanTV,2017-06-24T11:46:41.020Z,2017-09-29T14:06:34.511Z,0,False,US,2018-07-18T07:53:33.000Z,SUNSfan,,0,0,Digital Chaos,DC,False,True,0
758174,76561197961023902,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/61/611eea6dccce6a812bb53c52e52b825ba14665c4.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/61/611eea6dccce6a812bb53c52e52b825ba14665c4_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/61/611eea6dccce6a812bb53c52e52b825ba14665c4_full.jpg,https://steamcommunity.com/profiles/76561197961023902/,Jeppins,,,0,,,2018-07-23T03:59:45.000Z,jeppins,us,1,2788413,,,False,False,1481500800
1185644,76561197961451372,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/79/79e13e2f272d8e21dde94b7ebbbc1ba832ef0d53.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/79/79e13e2f272d8e21dde94b7ebbbc1ba832ef0d53_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/79/79e13e2f272d8e21dde94b7ebbbc1ba832ef0d53_full.jpg,https://steamcommunity.com/id/korokodile/,k.,2015-09-21T20:30:38.990Z,2018-06-06T15:24:56.715Z,0,False,,2018-07-23T05:21:14.000Z,Korok,us,1,680763,Korok's Girth,zoop,False,True,0
1296625,76561197961562353,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a4/a4f0cb84e157582f59fbd1de1b5675f42bfeccdb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a4/a4f0cb84e157582f59fbd1de1b5675f42bfeccdb_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a4/a4f0cb84e157582f59fbd1de1b5675f42bfeccdb_full.jpg,https://steamcommunity.com/id/jnewsham/,Newsham,2016-06-10T20:24:48.743Z,2018-06-06T15:08:37.244Z,0,False,US,2018-07-16T07:09:51.000Z,Newsham,,0,5051765,Team Leviathan,LvT,True,True,1533081600
1522705,76561197961788433,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/id/nihiss/,nihis,2016-07-30T09:05:06.341Z,2017-08-24T15:51:03.734Z,0,False,,2018-07-22T19:20:29.000Z,nihis,fi,2,1055544,Hehe United,hehe,False,True,0
